year,month,year_month,airport,residence_country,traveller_type,counts
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Hong Kong,Tourists (overnight),4
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Hong Kong,Visitors,4
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Hungary,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Hungary,Tourists (overnight),3
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Hungary,Visitors,3
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",India,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",India,Tourists (overnight),3
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",India,Visitors,3
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Indonesia,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Indonesia,Tourists (overnight),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Indonesia,Visitors,0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","International visitors entering or returning to Canada, air",Excursionists (same-day),145
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","International visitors entering or returning to Canada, air",Tourists (overnight),22409
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","International visitors entering or returning to Canada, air",Visitors,22554
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Iran,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Iran,Tourists (overnight),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Iran,Visitors,0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Ireland,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Ireland,Tourists (overnight),13
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Ireland,Visitors,13
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Israel,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Israel,Tourists (overnight),1
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Israel,Visitors,1
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Italy,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Italy,Tourists (overnight),131
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Italy,Visitors,131
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Jamaica,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Jamaica,Tourists (overnight),0
